start_time,BTCUSDT_close,BTCUSDT_low,BTCUSDT_high,BTCUSDT_open
2024-09-11T02:58:00.000,56937.990000,56914.640000,56975.370000,56952.010000
2024-09-11T02:59:00.000,56921.100000,56921.100000,56939.920000,56938.000000
2024-09-11T03:00:00.000,56921.100000,56884.140000,56921.110000,56921.110000
2024-09-11T03:01:00.000,56967.990000,56902.000000,56967.990000,56921.090000
2024-09-11T03:02:00.000,56950.000000,56942.000000,56971.100000,56968.000000
2024-09-11T03:03:00.000,56945.840000,56936.000000,56968.000000,56950.000000
2024-09-11T03:04:00.000,56886.000000,56880.000000,56945.840000,56945.830000
2024-09-11T03:05:00.000,56893.500000,56872.000000,56904.000000,56886.010000
2024-09-11T03:06:00.000,56816.000000,56799.660000,56906.000000,56893.500000
2024-09-11T03:07:00.000,56799.990000,56798.000000,56825.970000,56816.000000
2024-09-11T03:08:00.000,56838.000000,56799.990000,56844.000000,56799.990000
2024-09-11T03:09:00.000,56792.000000,56792.000000,56838.000000,56838.000000
2024-09-11T03:10:00.000,56787.900000,56773.970000,56792.000000,56792.000000
2024-09-11T03:11:00.000,56800.000000,56764.890000,56800.000000,56787.900000
2024-09-11T03:12:00.000,56871.990000,56799.990000,56871.990000,56800.000000
2024-09-11T03:13:00.000,56843.990000,56842.000000,56873.990000,56872.000000
2024-09-11T03:14:00.000,56862.000000,56843.990000,56862.000000,56844.000000
2024-09-11T03:15:00.000,56823.870000,56812.000000,56870.000000,56862.000000
2024-09-11T03:16:00.000,56792.370000,56772.000000,56823.870000,56823.860000
2024-09-11T03:17:00.000,56812.010000,56792.370000,56830.000000,56792.380000
2024-09-11T03:18:00.000,56827.990000,56812.000000,56840.000000,56812.000000
2024-09-11T03:19:00.000,56853.650000,56827.990000,56853.660000,56827.990000
2024-09-11T03:20:00.000,56810.000000,56810.000000,56853.660000,56853.660000
2024-09-11T03:21:00.000,56774.000000,56761.100000,56810.000000,56810.000000
2024-09-11T03:22:00.000,56792.000000,56766.000000,56792.000000,56774.000000
2024-09-11T03:23:00.000,56773.990000,56769.000000,56791.990000,56791.990000
2024-09-11T03:24:00.000,56746.000000,56746.000000,56774.000000,56774.000000
2024-09-11T03:25:00.000,56746.390000,56734.000000,56768.000000,56746.010000
2024-09-11T03:26:00.000,56758.010000,56746.390000,56773.500000,56746.390000
2024-09-11T03:27:00.000,56740.010000,56740.010000,56758.010000,56758.010000
2024-09-11T03:28:00.000,56740.500000,56725.200000,56740.500000,56740.010000
2024-09-11T03:29:00.000,56724.010000,56724.000000,56759.990000,56740.490000
2024-09-11T03:30:00.000,56723.990000,56720.000000,56743.990000,56724.010000
2024-09-11T03:31:00.000,56756.000000,56706.310000,56774.730000,56724.000000
2024-09-11T03:32:00.000,56726.880000,56688.400000,56756.010000,56756.010000
2024-09-11T03:33:00.000,56740.430000,56726.870000,56754.000000,56726.870000
2024-09-11T03:34:00.000,56790.000000,56740.430000,56792.690000,56740.440000
2024-09-11T03:35:00.000,56898.010000,56789.990000,56965.370000,56790.000000
2024-09-11T03:36:00.000,56866.010000,56860.000000,56898.000000,56898.000000
2024-09-11T03:37:00.000,56882.010000,56865.010000,56921.350000,56866.010000
2024-09-11T03:38:00.000,56840.000000,56840.000000,56890.480000,56882.010000
2024-09-11T03:39:00.000,56866.000000,56840.000000,56867.180000,56840.000000
